Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
19,18,688.0,1,3,5,1,7,2,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.3684210526315789,0.10526315789473684,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3]",2.8421052631578947,2.1329639889196677
20,19,571.0,1,4,5,1,7,2,0.05,0.2,0.25,0.05,0.35,0.1,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1]",2.75,2.1875
21,20,622.0,1,5,5,1,7,2,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.047619047619047616,0.3333333333333333,0.09523809523809523,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1]",2.6666666666666665,2.2222222222222223
22,21,619.0,1,6,5,1,7,2,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.3181818181818182,0.09090909090909091,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1]",2.590909090909091,2.241735537190083
23,22,659.0,1,6,5,1,7,3,0.043478260869565216,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.30434782608695654,0.13043478260869565,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5]",2.6956521739130435,2.3856332703213607
24,23,666.0,1,6,5,1,7,4,0.041666666666666664,0.25,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.16666666666666666,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5]",2.7916666666666665,2.498263888888889
25,24,673.0,1,6,5,1,7,5,0.04,0.24,0.2,0.04,0.28,0.2,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5]",2.88,2.5856
26,25,666.0,1,6,5,1,7,6,0.038461538461538464,0.23076923076923078,0.19230769230769232,0.038461538461538464,0.2692307692307692,0.23076923076923078,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5]",2.9615384615384617,2.6523668639053253
27,26,651.0,1,6,6,1,7,6,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.25925925925925924,0.2222222222222222,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2]",2.925925925925926,2.587105624142661
28,27,822.0,1,6,7,1,7,6,0.03571428571428571,0.21428571428571427,0.25,0.03571428571428571,0.25,0.21428571428571427,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2]",2.892857142857143,2.5242346938775513
