Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
22,0.0,-1.0,-1.0,6976.340000000001,21,50.0,200.0,145,50.0,565.0,565.0,6411.340000000001,6411.183191575578,4,3,4,1,2,8,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.36363636363636365,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5]",2.8181818181818183,3.8760330578512394
23,0.0,-1.0,-1.0,6976.340000000001,22,50.0,200.0,154,100.0,770.0,770.0,6206.340000000001,6206.669569780237,4,3,4,1,2,9,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.391304347826087,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5, 5]",2.9130434782608696,3.905482041587902
24,0.0,-1.0,-1.0,6976.340000000001,23,50.0,200.0,113,50.0,855.0,855.0,6121.340000000001,6121.669559279266,5,3,4,1,2,9,0.20833333333333334,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.375,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5, 5, 0]",2.7916666666666665,4.081597222222222
25,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,122,50.0,1092.0,1092.0,5884.340000000001,5884.052665796787,6,3,4,1,2,9,0.24,0.12,0.16,0.04,0.08,0.36,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5, 5, 0, 0]",2.68,4.2176
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1111.0,1111.0,5865.340000000001,5865.336083897224,0,1,2,0,0,0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,"[1, 2, 2]",1.6666666666666667,0.2222222222222222
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1100.0,1100.0,5876.340000000001,5876.505268704069,0,0,2,0,0,1,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,"[2, 2, 5]",3.0,2.0
3,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,524.0,524.0,6452.340000000001,6452.806990648216,1,1,1,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,"[1, 2, 0]",1.0,0.6666666666666666
4,0.0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,33,50.0,410.0,410.0,6566.340000000001,6566.567555867865,1,2,1,0,0,0,0.25,0.5,0.25,0.0,0.0,0.0,"[1, 2, 0, 1]",1.0,0.5
5,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,7,50.0,427.0,427.0,6549.340000000001,6549.152966579241,1,2,1,0,1,0,0.2,0.4,0.2,0.0,0.2,0.0,"[1, 2, 0, 1, 4]",1.6,1.8399999999999999
6,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,98,50.0,521.0,521.0,6455.340000000001,6454.971754447672,1,2,2,0,1,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,"[1, 2, 0, 1, 4, 2]",1.6666666666666667,1.5555555555555554
