Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
42,41,1653.0,23,19,0.5476190476190477,0.4523809523809524,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,42,1738.0,23,20,0.5348837209302325,0.46511627906976744,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
44,43,1784.0,23,21,0.5227272727272727,0.4772727272727273,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
45,-1,2115.0,23,22,0.5111111111111111,0.4888888888888889,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
3,-1,1138.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1133.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,-1,1085.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
3,-1,1107.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1189.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,2,748.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
4,3,855.0,3,1,0.75,0.25,"[1, 0, 0, 0]"
5,4,914.0,4,1,0.8,0.2,"[1, 0, 0, 0, 0]"
6,5,895.0,5,1,0.8333333333333334,0.16666666666666666,"[1, 0, 0, 0, 0, 0]"
7,6,777.0,6,1,0.8571428571428571,0.14285714285714285,"[1, 0, 0, 0, 0, 0, 0]"
8,7,914.0,6,2,0.75,0.25,"[1, 0, 0, 0, 0, 0, 0, 1]"
9,8,736.0,6,3,0.6666666666666666,0.3333333333333333,"[1, 0, 0, 0, 0, 0, 0, 1, 1]"
10,9,851.0,6,4,0.6,0.4,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
11,10,806.0,7,4,0.6363636363636364,0.36363636363636365,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
12,11,824.0,8,4,0.6666666666666666,0.3333333333333333,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
13,12,810.0,9,4,0.6923076923076923,0.3076923076923077,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
14,13,759.0,9,5,0.6428571428571429,0.35714285714285715,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]"
15,14,744.0,10,5,0.6666666666666666,0.3333333333333333,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
16,15,870.0,10,6,0.625,0.375,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
17,16,871.0,10,7,0.5882352941176471,0.4117647058823529,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]"
18,17,927.0,11,7,0.6111111111111112,0.3888888888888889,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
19,18,943.0,11,8,0.5789473684210527,0.42105263157894735,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
20,19,938.0,11,9,0.55,0.45,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]"
21,20,941.0,11,10,0.5238095238095238,0.47619047619047616,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]"
22,21,947.0,11,11,0.5,0.5,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
23,22,918.0,11,12,0.4782608695652174,0.5217391304347826,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]"
24,23,898.0,11,13,0.4583333333333333,0.5416666666666666,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
25,24,1037.0,11,14,0.44,0.56,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
26,-1,1097.0,11,15,0.4230769230769231,0.5769230769230769,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
3,-1,932.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
3,-1,1151.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1135.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1165.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,2,1066.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
4,-1,1067.0,2,2,0.5,0.5,"[1, 0, 1, 0]"
3,-1,1106.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1103.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,2,1155.0,3,0,1.0,0.0,"[0, 0, 0]"
4,-1,1060.0,4,0,1.0,0.0,"[0, 0, 0, 0]"
3,-1,1131.0,3,0,1.0,0.0,"[0, 0, 0]"
3,-1,1163.0,0,3,0.0,1.0,"[1, 1, 1]"
3,2,1281.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
4,-1,1280.0,2,2,0.5,0.5,"[0, 1, 0, 1]"
3,2,1170.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
4,-1,1077.0,2,2,0.5,0.5,"[1, 1, 0, 0]"
3,2,1199.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
4,-1,1193.0,3,1,0.75,0.25,"[0, 0, 1, 0]"
3,-1,1157.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1102.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,-1,1085.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
3,-1,1143.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,990.0,3,0,1.0,0.0,"[0, 0, 0]"
3,-1,1100.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1095.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,-1,1226.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1106.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1113.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1107.0,0,3,0.0,1.0,"[1, 1, 1]"
3,2,1025.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
4,-1,1060.0,2,2,0.5,0.5,"[0, 0, 1, 1]"
3,-1,1118.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1137.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
3,-1,1092.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1236.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1098.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1183.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,2,1051.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
4,3,1036.0,3,1,0.75,0.25,"[0, 0, 1, 0]"
5,-1,1036.0,3,2,0.6,0.4,"[0, 0, 1, 0, 1]"
3,-1,1114.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1107.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1144.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1109.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1125.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1076.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1186.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,-1,1109.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,940.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,-1,1108.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1102.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,-1,1087.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
3,-1,1128.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,2,1105.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
4,3,1015.0,3,1,0.75,0.25,"[0, 0, 1, 0]"
5,-1,1020.0,4,1,0.8,0.2,"[0, 0, 1, 0, 0]"
3,2,1137.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
4,3,1094.0,3,1,0.75,0.25,"[1, 0, 0, 0]"
5,-1,1095.0,3,2,0.6,0.4,"[1, 0, 0, 0, 1]"
3,-1,1130.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1199.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1089.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1105.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,963.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1137.0,3,0,1.0,0.0,"[0, 0, 0]"
3,-1,1141.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1203.0,3,0,1.0,0.0,"[0, 0, 0]"
3,-1,1108.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1030.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1097.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,2,753.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
4,3,670.0,3,1,0.75,0.25,"[0, 1, 0, 0]"
5,4,704.0,4,1,0.8,0.2,"[0, 1, 0, 0, 0]"
6,5,726.0,5,1,0.8333333333333334,0.16666666666666666,"[0, 1, 0, 0, 0, 0]"
7,6,955.0,5,2,0.7142857142857143,0.2857142857142857,"[0, 1, 0, 0, 0, 0, 1]"
8,7,713.0,5,3,0.625,0.375,"[0, 1, 0, 0, 0, 0, 1, 1]"
9,8,855.0,5,4,0.5555555555555556,0.4444444444444444,"[0, 1, 0, 0, 0, 0, 1, 1, 1]"
10,9,907.0,6,4,0.6,0.4,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]"
11,10,883.0,6,5,0.5454545454545454,0.45454545454545453,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
12,11,695.0,7,5,0.5833333333333334,0.4166666666666667,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0]"
13,12,721.0,8,5,0.6153846153846154,0.38461538461538464,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
14,13,760.0,9,5,0.6428571428571429,0.35714285714285715,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]"
15,14,778.0,10,5,0.6666666666666666,0.3333333333333333,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]"
16,15,887.0,10,6,0.625,0.375,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]"
17,16,916.0,11,6,0.6470588235294118,0.35294117647058826,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
18,17,888.0,11,7,0.6111111111111112,0.3888888888888889,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
19,18,916.0,11,8,0.5789473684210527,0.42105263157894735,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]"
20,19,965.0,11,9,0.55,0.45,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
21,20,881.0,11,10,0.5238095238095238,0.47619047619047616,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
22,21,922.0,11,11,0.5,0.5,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]"
