Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
11,0.0,-1.0,-1.0,6976.340000000001,10,50.0,200.0,84,50.0,251.0,251.0,6725.340000000001,6725.765069574067,6,5,0.5454545454545454,0.45454545454545453,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]"
12,0.0,-1.0,-1.0,6976.340000000001,11,50.0,200.0,36,100.0,384.0,384.0,6592.340000000001,6592.556398504356,7,5,0.5833333333333334,0.4166666666666667,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
13,0.0,-1.0,-1.0,6976.340000000001,12,50.0,200.0,11,50.0,473.0,473.0,6503.340000000001,6503.05719615009,8,5,0.6153846153846154,0.38461538461538464,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
14,0.0,-1.0,-1.0,6976.340000000001,13,50.0,200.0,10,50.0,500.0,500.0,6476.340000000001,6476.513419528455,9,5,0.6428571428571429,0.35714285714285715,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
15,0.0,-1.0,-1.0,6976.340000000001,14,50.0,200.0,137,50.0,522.0,522.0,6454.340000000001,6454.439854797524,9,6,0.6,0.4,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
16,0.0,-1.0,-1.0,6976.340000000001,15,50.0,200.0,136,50.0,488.0,488.0,6488.340000000001,6488.200939168903,9,7,0.5625,0.4375,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
17,0.0,-1.0,-1.0,6976.340000000001,16,50.0,200.0,6,50.0,404.0,404.0,6572.340000000001,6572.061776019282,10,7,0.5882352941176471,0.4117647058823529,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
18,0.0,-1.0,-1.0,6976.340000000001,17,50.0,200.0,41,100.0,678.0,678.0,6298.340000000001,6298.651263933734,11,7,0.6111111111111112,0.3888888888888889,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
19,0.0,-1.0,-1.0,6976.340000000001,18,50.0,200.0,100,50.0,688.0,688.0,6288.340000000001,6288.526265984006,11,8,0.5789473684210527,0.42105263157894735,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
20,0.0,-1.0,-1.0,6976.340000000001,19,50.0,200.0,27,50.0,571.0,571.0,6405.340000000001,6405.3588101543355,12,8,0.6,0.4,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
